G1Q00004,rango_etario,G1Q00008,region,postulacion_final,conteo
Mujer,41 a 50 años,Córdoba,CENTRO,SUPLENTE,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,21 a 30 años,Corrientes,NEA,SUPLENTE,1
Mujer,31 a 40 años,Jujuy,NOA,SUPLENTE,1
Mujer,61 a 70 años,Chubut,PATAGONIA,SUPLENTE,1
Varón,31 a 40 años,Chubut,PATAGONIA,SUPLENTE,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,31 a 40 años,Neuquén,PATAGONIA,SUPLENTE,1
Mujer,21 a 30 años,CABA,BUENOS AIRES,SUPLENTE,1
Varón,41 a 50 años,CABA,BUENOS AIRES,SUPLENTE,1
Mujer,21 a 30 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,41 a 50 años,Córdoba,CENTRO,SUPLENTE,1
Mujer,41 a 50 años,Santa Fe,CENTRO,SUPLENTE,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Varón,21 a 30 años,Santa Cruz,PATAGONIA,SUPLENTE,1
Mujer,61 a 70 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,41 a 50 años,San Luis,CUYO,SUPLENTE,1
Mujer,41 a 50 años,Chubut,PATAGONIA,SUPLENTE,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,51 a 60 años,Río Negro,PATAGONIA,SUPLENTE,1
Varón,41 a 50 años,Río Negro,PATAGONIA,SUPLENTE,1
Mujer,21 a 30 años,Chaco,NEA,SUPLENTE,1
Mujer,61 a 70 años,CABA,BUENOS AIRES,SUPLENTE,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,41 a 50 años,Río Negro,PATAGONIA,SUPLENTE,1
Mujer,31 a 40 años,Santa Fe,CENTRO,SUPLENTE,1
Varón,18 a 20 años,Entre Ríos,CENTRO,SUPLENTE,1
Varón,21 a 30 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,21 a 30 años,Córdoba,CENTRO,SUPLENTE,1
Varón,61 a 70 años,Neuquén,PATAGONIA,SUPLENTE,1
Mujer,41 a 50 años,Santa Fe,CENTRO,SUPLENTE,1
Mujer,31 a 40 años,Tucumán,NOA,SUPLENTE,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,21 a 30 años,Córdoba,CENTRO,SUPLENTE,1
Mujer,21 a 30 años,Córdoba,CENTRO,SUPLENTE,1
Mujer,31 a 40 años,Tucumán,NOA,SUPLENTE,1
Otro,21 a 30 años,Neuquén,PATAGONIA,SUPLENTE,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,31 a 40 años,Córdoba,CENTRO,SUPLENTE,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SUPLENTE,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,SUPLENTE,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,31 a 40 años,Salta,NOA,SI,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,61 a 70 años,Mendoza,CUYO,SI,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,SI,1
Mujer,31 a 40 años,Santa Fe,CENTRO,SI,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,31 a 40 años,Córdoba,CENTRO,SI,1
Mujer,41 a 50 años,San Luis,CUYO,SI,1
Mujer,41 a 50 años,Río Negro,PATAGONIA,SI,1
Mujer,21 a 30 años,Buenos Aires,BUENOS AIRES,SI,1
Varón,51 a 60 años,La Pampa,PATAGONIA,SI,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,SI,1
No binaria,21 a 30 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,61 a 70 años,Córdoba,CENTRO,SI,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,SI,1
Varón,21 a 30 años,Entre Ríos,CENTRO,SI,1
Mujer,51 a 60 años,Santa Fe,CENTRO,SI,1
No binaria,41 a 50 años,Buenos Aires,BUENOS AIRES,SI,1
Varón,31 a 40 años,CABA,BUENOS AIRES,SI,1
Mujer,41 a 50 años,Chaco,NEA,SI,1
Mujer,21 a 30 años,Santa Fe,CENTRO,SI,1
Mujer,41 a 50 años,Mendoza,CUYO,SI,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,SI,1
Otro,51 a 60 años,Córdoba,CENTRO,SI,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,21 a 30 años,Entre Ríos,CENTRO,SI,1
Varón,41 a 50 años,Formosa,NEA,SI,1
Varón,31 a 40 años,Misiones,NEA,SI,1
Mujer,31 a 40 años,Santa Cruz,PATAGONIA,SI,1
Mujer,41 a 50 años,Corrientes,NEA,SI,1
Mujer Trans,41 a 50 años,Otro país,Otro país,SI,1
Mujer,61 a 70 años,Mendoza,CUYO,SI,1
Varón,31 a 40 años,Santa Fe,CENTRO,SI,1
Mujer,41 a 50 años,Jujuy,NOA,SI,1
Varón Trans,41 a 50 años,Buenos Aires,BUENOS AIRES,SI,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,SI,1
Mujer,41 a 50 años,Mendoza,CUYO,SI,1
Mujer,31 a 40 años,Santa Fe,CENTRO,SI,1
Varón,51 a 60 años,Buenos Aires,BUENOS AIRES,SI,1
Varón,51 a 60 años,San Juan,CUYO,SI,1
Mujer,51 a 60 años,Chubut,PATAGONIA,SI,1
Mujer,31 a 40 años,La Rioja,NOA,SI,1
Mujer,51 a 60 años,Córdoba,CENTRO,SI,1
Varón,31 a 40 años,Entre Ríos,CENTRO,SI,1
Mujer,21 a 30 años,Tucumán,NOA,SI,1
Mujer,41 a 50 años,Formosa,NEA,SI,1
No binaria,21 a 30 años,Formosa,NEA,SI,1
Mujer,31 a 40 años,Córdoba,CENTRO,SI,1
Mujer,21 a 30 años,Río Negro,PATAGONIA,SI,1
Mujer,51 a 60 años,San Luis,CUYO,SI,1
Mujer,31 a 40 años,La Pampa,PATAGONIA,SI,1
Varón,61 a 70 años,Buenos Aires,BUENOS AIRES,SI,1
Otro,61 a 70 años,CABA,BUENOS AIRES,SI,1
Mujer,51 a 60 años,Chubut,PATAGONIA,SI,1
Mujer,41 a 50 años,Santa Fe,CENTRO,SI,1
Mujer,41 a 50 años,Chubut,PATAGONIA,SI,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,SI,1
Varón,31 a 40 años,Neuquén,PATAGONIA,SI,1
Mujer,51 a 60 años,San Juan,CUYO,SI,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,SI,1
Mujer,41 a 50 años,Mendoza,CUYO,SI,1
Mujer,51 a 60 años,CABA,BUENOS AIRES,SI,1
Mujer,21 a 30 años,Neuquén,PATAGONIA,SI,1
Mujer,31 a 40 años,Río Negro,PATAGONIA,SI,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Mendoza,CUYO,NO,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,61 a 70 años,Corrientes,NEA,NO,1
Mujer,21 a 30 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,21 a 30 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,21 a 30 años,San Luis,CUYO,NO,1
Mujer,21 a 30 años,Entre Ríos,CENTRO,NO,1
Mujer,31 a 40 años,Tucumán,NOA,NO,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,31 a 40 años,Otro país,Otro país,NO,1
Varón,71 a 75 años,CABA,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,NO,1
Mujer,31 a 40 años,Chubut,PATAGONIA,NO,1
Mujer,21 a 30 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,21 a 30 años,San Luis,CUYO,NO,1
Mujer,41 a 50 años,La Rioja,NOA,NO,1
Varón,61 a 70 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Santa Cruz,PATAGONIA,NO,1
Mujer,51 a 60 años,CABA,BUENOS AIRES,NO,1
Mujer,31 a 40 años,La Pampa,PATAGONIA,NO,1
Mujer,51 a 60 años,Córdoba,CENTRO,NO,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,31 a 40 años,Catamarca,NOA,NO,1
Mujer,21 a 30 años,CABA,BUENOS AIRES,NO,1
Mujer,61 a 70 años,CABA,BUENOS AIRES,NO,1
Mujer,31 a 40 años,Chaco,NEA,NO,1
Mujer,21 a 30 años,Neuquén,PATAGONIA,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,18 a 20 años,Jujuy,NOA,NO,1
Mujer,21 a 30 años,CABA,BUENOS AIRES,NO,1
Mujer,21 a 30 años,Formosa,NEA,NO,1
Varón,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,21 a 30 años,Salta,NOA,NO,1
Mujer,21 a 30 años,Mendoza,CUYO,NO,1
Varón,41 a 50 años,Córdoba,CENTRO,NO,1
Mujer,41 a 50 años,Santa Fe,CENTRO,NO,1
Prefiero no decirlo,41 a 50 años,Santa Fe,CENTRO,NO,1
Varón,21 a 30 años,Tucumán,NOA,NO,1
Mujer,41 a 50 años,Mendoza,CUYO,NO,1
Varón,41 a 50 años,CABA,BUENOS AIRES,NO,1
Mujer,51 a 60 años,CABA,BUENOS AIRES,NO,1
Mujer,51 a 60 años,Chubut,PATAGONIA,NO,1
Mujer,31 a 40 años,La Pampa,PATAGONIA,NO,1
Mujer,31 a 40 años,Corrientes,NEA,NO,1
Mujer,31 a 40 años,Salta,NOA,NO,1
Mujer,61 a 70 años,Catamarca,NOA,NO,1
Mujer,41 a 50 años,Otro país,Otro país,NO,1
Mujer,41 a 50 años,Corrientes,NEA,NO,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,31 a 40 años,Tucumán,NOA,NO,1
Mujer,61 a 70 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,21 a 30 años,Jujuy,NOA,NO,1
Mujer,31 a 40 años,Salta,NOA,NO,1
Mujer,41 a 50 años,Tucumán,NOA,NO,1
Mujer,31 a 40 años,Chubut,PATAGONIA,NO,1
Mujer,21 a 30 años,Jujuy,NOA,NO,1
Mujer,41 a 50 años,Tucumán,NOA,NO,1
Varón,51 a 60 años,CABA,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Santa Fe,CENTRO,NO,1
Varón,51 a 60 años,Entre Ríos,CENTRO,NO,1
Mujer,51 a 60 años,CABA,BUENOS AIRES,NO,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,21 a 30 años,Chaco,NEA,NO,1
Mujer,41 a 50 años,Mendoza,CUYO,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,51 a 60 años,Otro país,Otro país,NO,1
Mujer,21 a 30 años,Tucumán,NOA,NO,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,NO,1
Varón,41 a 50 años,CABA,BUENOS AIRES,NO,1
Mujer,21 a 30 años,La Rioja,NOA,NO,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,NO,1
Varón,21 a 30 años,San Juan,CUYO,NO,1
Mujer,21 a 30 años,San Juan,CUYO,NO,1
Varón,51 a 60 años,San Juan,CUYO,NO,1
Mujer,41 a 50 años,San Juan,CUYO,NO,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,NO,1
Mujer,31 a 40 años,San Juan,CUYO,NO,1
Mujer,31 a 40 años,Salta,NOA,NO,1
Varón,41 a 50 años,Río Negro,PATAGONIA,NO,1
Mujer,31 a 40 años,San Juan,CUYO,NO,1
Mujer,31 a 40 años,Misiones,NEA,NO,1
Mujer,51 a 60 años,San Juan,CUYO,NO,1
Mujer,31 a 40 años,Chubut,PATAGONIA,NO,1
Mujer,41 a 50 años,Río Negro,PATAGONIA,NO,1
Varón,18 a 20 años,CABA,BUENOS AIRES,NO,1
Mujer,41 a 50 años,Mendoza,CUYO,A REVISAR,1
Varón,51 a 60 años,Corrientes,NEA,A REVISAR,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,31 a 40 años,Jujuy,NOA,A REVISAR,1
Varón,41 a 50 años,Santiago del Estero,NOA,A REVISAR,1
Varón,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Jujuy,NOA,A REVISAR,1
Mujer,51 a 60 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,Tucumán,NOA,A REVISAR,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,61 a 70 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Varón,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,La Pampa,PATAGONIA,A REVISAR,1
Mujer,51 a 60 años,Córdoba,CENTRO,A REVISAR,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,61 a 70 años,Chubut,PATAGONIA,A REVISAR,1
Mujer,41 a 50 años,Tucumán,NOA,A REVISAR,1
Mujer,51 a 60 años,Neuquén,PATAGONIA,A REVISAR,1
Mujer,31 a 40 años,Misiones,NEA,A REVISAR,1
Mujer,21 a 30 años,Mendoza,CUYO,A REVISAR,1
Varón,51 a 60 años,CABA,BUENOS AIRES,A REVISAR,1
Varón,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,41 a 50 años,Santa Fe,CENTRO,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,Corrientes,NEA,A REVISAR,1
Mujer,51 a 60 años,Santa Fe,CENTRO,A REVISAR,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Entre Ríos,CENTRO,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,21 a 30 años,Tucumán,NOA,A REVISAR,1
Otro,41 a 50 años,Salta,NOA,A REVISAR,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,Otro país,Otro país,A REVISAR,1
Varón,51 a 60 años,Córdoba,CENTRO,A REVISAR,1
Mujer,51 a 60 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Varón,41 a 50 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,31 a 40 años,Corrientes,NEA,A REVISAR,1
Mujer,41 a 50 años,Buenos Aires,BUENOS AIRES,A REVISAR,1
Mujer,41 a 50 años,San Juan,CUYO,A REVISAR,1
Mujer,31 a 40 años,CABA,BUENOS AIRES,A REVISAR,1
